,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
6065,319769,Brendan,31,Fenit,,Ireland,IE,IRL,52.27682,-9.85796,Europe,484,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,857585,4.2484758860000005,3312.876805,592709,264876,27664.032260000004,23.93638817
6210,335643,France Prešeren,41,Vrba,,Slovenia,SI,SVN,46.388946999999995,14.146269,Europe,1800,Male,WRITER,LANGUAGE,HUMANITIES,855241,8.480074839,7788.139496,140865,714376,20859.53659,23.61992605
10085,5026209,Ricardo Lagos,33,Santiago,,CHILE,CL,CHL,-33.45,-70.666667,South America,1938,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,852103,5.441387026,3074.064846,183541,668562,25821.303030000003,23.06587587
9297,1800646,Pál Schmitt,42,Budapest,,HUNGARY,HU,HUN,47.4925,19.051389,Europe,1942,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,849720,7.226227341,25216.48202,249895,599825,20231.42857,21.33539643
8003,733300,Dado Pršo,27,Zadar,,CROATIA,HR,HRV,44.114167,15.227778,Europe,1974,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,848644,8.69948961,3792.668568,339418,509226,31431.259260000003,17.94778189
10595,12352108,Ivan Perisic,28,Split,,CROATIA,HR,HRV,43.51,16.45,Europe,1989,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,848162,7.288458762,13121.31882,387022,461140,30291.5,13.973173499999998
4162,162320,Ólafur Ragnar Grímsson,50,Ísafjörður,,ICELAND,IS,ISL,66.07583299999999,-23.126667,Europe,1943,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,847813,11.95818744,3595.3311369999997,356835,490978,16956.26,23.74859317
9163,1597897,Ladislao Kubala,27,Budapest,,HUNGARY,HU,HUN,47.4925,19.051389,Europe,1927,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,846889,10.84300306,6922.075454000001,191914,654975,31366.259260000003,22.81502945
219,4611,Burhanuddin Rabbani,41,Fayzabad,,AFGHANISTAN,AF,AFG,37.1175,70.579722,Asia,1940,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,845539,7.180094626,14149.20238,466150,379389,20622.90244,21.43976417
7124,470835,René Préval,31,Cap-Haïtien,,HAITI,HT,HTI,19.75,-72.2,North America,1943,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,845203,5.951878667000001,22030.10325,460669,384534,27264.6129,20.51262398
1232,24382,Pope Victor I,58,Leptis Magna,,Libya,LY,LBY,31.8,12.74,Africa,100,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,844854,12.12698689,13643.12255,341555,503299,14566.44828,24.98488875
