,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI,image_path
10264,6578269,Jeronimo Cacau,34,Santo André,,BRAZIL,BR,BRA,-23.657222,-46.533333,South America,1981,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1618275,6.310269953,30834.25782,566868,1051407,47596.32353,15.98943097,images/jeronimo-cacau.png
4548,179202,José Sarney,31,Pinheiro,,BRAZIL,BR,BRA,-2.520833,-45.082778000000005,South America,1930,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1611679,2.7092138460000004,11339.61864,188187,1423492,51989.64516,22.46685197,images/josé-sarney.png
10027,4585315,Heurelho da Silva Gomes,32,João Pinheiro,,BRAZIL,BR,BRA,-17.740555999999998,-46.174167,South America,1981,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1489257,5.931567188,8817.226187,836352,652905,46539.28125,16.55929902,images/heurelho-da-silva-gomes.png
9691,2715728,Juliano Belletti,32,Cascavel,,BRAZIL,BR,BRA,-24.955556,-53.455278,South America,1976,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1443486,6.884900472999999,5701.790290999999,728985,714501,45108.9375,18.02221719,images/juliano-belletti.png
9603,2443549,Juan Silveira dos Santos,35,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1979,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1438083,7.383619611,10493.49939,557550,880533,41088.08571,17.28741318,images/juan-silveira-dos-santos.png
8128,764037,Tancredo Neves,30,São João del Rei,,BRAZIL,BR,BRA,-21.135832999999998,-44.261944,South America,1910,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1391983,3.292867867,7541.145445,189316,1202667,46399.43333,22.87770309,images/tancredo-neves.png
11027,22838564,João Goulart,28,São Borja,,BRAZIL,BR,BRA,-28.65,-56.0,South America,1919,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1384849,2.9104498060000004,11810.39214,196122,1188727,49458.89286,22.15390056,images/joão-goulart.png
10058,4814781,Fábio Aurélio,33,São Carlos,,BRAZIL,BR,BRA,-22.017778,-47.890833,South America,1979,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1353053,6.635204792000001,7573.436371,742563,610490,41001.606060000006,17.02059433,images/fábio-aurélio.png
9074,1485599,Cláudio Taffarel,28,Santa Rosa,,Brazil,BR,BRA,-27.866999999999997,-54.467,South America,1966,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1345552,9.066628333999999,9749.135892,323422,1022130,48055.42857,19.51649919,images/cláudio-taffarel.png
10256,6454931,Képler Laveran Lima Ferreira,48,Maceió,,BRAZIL,BR,BRA,-9.665833000000001,-35.735,South America,1983,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1307358,11.67205568,14071.1516,6653,1300705,27236.625,17.40094591,images/képler-laveran-lima-ferreira.png
11156,25807927,Hebe Camargo,157,Taubaté,,BRAZIL,BR,BRA,-23.033333,-45.55,South America,1929,Female,PRESENTER,MEDIA PERSONALITY,PUBLIC FIGURE,1264929,5.057431879,25812.43512,76139,1188790,8056.872611,23.47695868,images/hebe-camargo.png
6468,367760,Deodoro da Fonseca,37,Marechal Deodoro,,BRAZIL,BR,BRA,-9.71,-35.895,Europe,1827,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1264108,2.82257386,9132.741066,103460,1160648,34165.08108,23.03622555,images/deodoro-da-fonseca.png
8818,1223457,Fernanda Montenegro,30,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1929,Female,ACTOR,FILM AND THEATRE,ARTS,1197852,3.61862427,7752.058142,325044,872808,39928.4,22.32658163,images/fernanda-montenegro.png
6463,365451,Itamar Franco,41,Salvador,,Brazil,BR,BRA,0.0,-30.0,South America,1930,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1176290,3.924296875,15679.375,171615,1004675,28690.0,22.12956206,images/itamar-franco.png
